Topic,Count,Name,Representation,Representative_Docs
-1,5919,-1_prabowo_ganjar_anies_2024,"['prabowo', 'ganjar', 'anies', '2024', 'pemilu', 'cawapres', 'nomor', 'capres', 'urut', 'prabowogibran']","['cawapres nomor urut 1 muhaimin iskandar cak imin bahagia dukungan jusuf kalla jk pasangan anies baswedan cak imin', 'relawan pendukung bacapres anies baswedan muhaimin iskandar cak imin meninggalkan kpu relawan ganjar pranowomahfud md kpu', 'capres nomor urut 1 prabowo subianto mengaku kontestasi pilpres 2024 putaran']"
0,6139,0_presiden_gibran_prabowo_ganjar,"['presiden', 'gibran', 'prabowo', 'ganjar', 'jokowi', 'anies', 'rakabuming', 'imin', 'calon', 'nomor']","['calon presiden calon wakil presiden nomor urut 1 anies baswedan muhaimin iskandar cak imin gedung kpk', 'pasangan caprescawapres nomor urut 2 prabowo subianto gibran rakabuming raka kampanye besok', 'wakil presiden maruf amin dijadwalkan bertemu calon wakil presiden gibran rakabuming raka mahfud md muhaimin iskandar cak imin']"
1,1276,1_2024_pilpres_pemilu_debat,"['2024', 'pilpres', 'pemilu', 'debat', 'kpu', 'suara', 'anies', 'tps', 'imin', 'prabowo']","['debat caprescawapres pilpres 2024 simak tanggal tema debat caprescawapres pilpres 2024 ditetapkan kpu', 'kpu menetapkan 14 februari 2024 pemungutan suara pemilu 2024 pemilu 2024 libur nasional', 'debat pilpres 2024 kali debat kpu menggelar debat pilpres 2024 debat pilpres 2024']"
2,438,2_video_viral_media_sosial,"['video', 'viral', 'media', 'sosial', 'foto', 'ganjar', 'tv', 'azan', 'hoax', 'tayangan']","['kaesang pangarep menanggapi viral media sosial video pose jari mobil kepresidenan ri 1 melintas jawa jateng', 'viral video media sosial pemasangan baliho bergambar paslon nomor urut 3 ganjar pranowo mahfud md mobil berpelat merah', 'video dinarasikan petugas kpu capres nomor urut 2 prabowo subianto viral media sosial aitu']"
3,401,3_kaesang_pangarep_psi_ketum,"['kaesang', 'pangarep', 'psi', 'ketum', 'ketua', 'pangan', 'jokowi', 'panglima', 'tni', 'relawan']","['kaesang pangarep resmi ketum psi relawan jokowi gibran rakabuming raka pengukuhan ketum psi', 'kaesang pangarep resmi ketua psi capres didukung psi pilpres 2024', 'ketua psi kaesang pangarep menghormati ketum gerindra prabowo subianto kantor psi kaesang menjabat ketum psi']"
4,328,4_megawati_soekarnoputri_pdip_ketum,"['megawati', 'soekarnoputri', 'pdip', 'ketum', 'ketua', 'ganjar', 'hasto', 'bertemu', 'pranowo', 'jokowi']","['ketua ketum gerindra bacapres prabowo subianto mengaku bertemu ketum pdip megawati soekarnoputri', 'mahfud md bertemu ketum pdip megawati soekarnoputri sekjen pdip hasto kristiyanto megawati restu mahfud mundur', 'pdip bicara peluang kerja psi pdip dibahas megawati megawati soekarnoputri']"
5,182,5_pan_zulkifli_hasan_zulhas,"['pan', 'zulkifli', 'hasan', 'zulhas', 'ketua', 'amanat', 'nasional', 'partai', '2024', 'kader']","['ketua pan zulkifli hasan zulhas pemilih muda milenial pan', 'ketua pan zulkifli hasan zulhas optimistis pan partai pemilu 2024', 'ketua pan zulkifli hasan zulhas antusiasme kader pan']"
6,172,6_airlangga_golkar_hartarto_partai,"['airlangga', 'golkar', 'hartarto', 'partai', 'ketum', 'air', 'prabowo', 'ketua', 'subianto', 'prabowogibran']","['golkar mengusung ketum airlangga hartarto', 'ketum partai golkar airlangga hartarto partai bergabung mendukung capres prabowo subianto', 'ketua partai golkar airlangga hartarto menyebut cawapres prabowo dibahas']"
7,164,7_duet_imin_aniescak_demokrat,"['duet', 'imin', 'aniescak', 'demokrat', 'parameter', 'pkb', 'anies', 'prayitno', 'cak', 'adi']","['isu ganjar duet prabowo menguat lantas duet terwujud', 'pks peluang anies menang duet ketum pkb muhaimin iskandar cak imin', 'duet aniescak imin dibongkar demokrat pkb menyambut tawaran duet lantas pkb berpamitan gerindra']"
